station,metric,t0,t_sig,lead_min,event
YKTK,corr_dim,2024-05-10 19:43:00,2024-05-10 16:45:00,-178.0,20240510
LMKS,entropy,2024-05-10 21:40:00,2024-05-10 14:00:00,-460.0,20240510
LMKS,sampen,2024-05-10 21:40:00,2024-05-10 15:00:00,-400.0,20240510
LMKS,permutation_entropy,2024-05-10 21:40:00,2024-05-10 18:40:00,-180.0,20240510
LMKS,shannon_entropy,2024-05-10 21:40:00,2024-05-10 16:40:00,-300.0,20240510
LMKS,spectral_entropy,2024-05-10 21:40:00,2024-05-10 14:55:00,-405.0,20240510
LMKS,app_entropy,2024-05-10 21:40:00,2024-05-10 16:20:00,-320.0,20240510
LMKS,hurst,2024-05-10 21:40:00,2024-05-10 15:10:00,-390.0,20240510
LMKS,dfa,2024-05-10 21:40:00,,,20240510
LMKS,mfhurst_b,2024-05-10 21:40:00,,,20240510
LMKS,higuchi_fd,2024-05-10 21:40:00,2024-05-10 18:30:00,-190.0,20240510
LMKS,katz_fd,2024-05-10 21:40:00,2024-05-10 16:35:00,-305.0,20240510
LMKS,petrosian_fd,2024-05-10 21:40:00,2024-05-10 18:40:00,-180.0,20240510
LMKS,lepel_ziv,2024-05-10 21:40:00,2024-05-10 18:00:00,-220.0,20240510
LMKS,corr_dim,2024-05-10 21:40:00,2024-05-10 15:10:00,-390.0,20240510
NEWK,entropy,2024-05-10 21:00:00,2024-05-10 13:20:00,-460.0,20240510
NEWK,sampen,2024-05-10 21:00:00,2024-05-10 16:25:00,-275.0,20240510
NEWK,permutation_entropy,2024-05-10 21:00:00,2024-05-10 19:15:00,-105.0,20240510
NEWK,shannon_entropy,2024-05-10 21:00:00,2024-05-10 16:10:00,-290.0,20240510
NEWK,spectral_entropy,2024-05-10 21:00:00,2024-05-10 16:15:00,-285.0,20240510
NEWK,app_entropy,2024-05-10 21:00:00,2024-05-10 13:30:00,-450.0,20240510
NEWK,hurst,2024-05-10 21:00:00,,,20240510
NEWK,dfa,2024-05-10 21:00:00,,,20240510
NEWK,mfhurst_b,2024-05-10 21:00:00,,,20240510
NEWK,higuchi_fd,2024-05-10 21:00:00,2024-05-10 15:45:00,-315.0,20240510
NEWK,katz_fd,2024-05-10 21:00:00,2024-05-10 13:40:00,-440.0,20240510
NEWK,petrosian_fd,2024-05-10 21:00:00,2024-05-10 20:30:00,-30.0,20240510
