DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;IRKT;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;NRLK;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2023-04-23 00:29:00; 55.682;224.333;259.438;   null;123.817;1258.100;124.800;152.042;349.964;424.023;348.830;373.000;165.000;109.858; 88.640;176.900;213.200;215.098;295.491;102.384;169.012;123.860; 99.867;207.950;186.210;257.350;203.020;203.910;116.910;215.557;138.310;276.870;  5.515; 17.151;112.620
2023-04-23 00:30:00; 54.153;218.500;258.661;   null;123.117;1295.900;126.086;152.749;347.411;419.595;349.500;371.000;171.000;107.940; 88.450;174.174;206.133;210.908;290.878; 98.189;169.605;121.500; 98.933;206.860;189.600;   null;200.650;207.080;118.410;217.408;140.270;279.350;  4.587; 16.480;112.275
2023-04-23 00:31:00; 56.125;221.683;258.351;   null;119.583;1290.400;123.000;157.788;348.760;427.591;343.130;374.000;169.000;103.116; 93.290;171.123;207.333;214.833;288.143; 96.272;165.378;119.310; 95.600;208.420;181.490;   null;202.830;203.830;116.600;223.220;138.130;280.950;  4.588; 18.572;109.629
2023-04-23 00:32:00; 52.165;217.600;259.818;   null;122.717;1312.000;123.124;158.147;349.847;423.337;348.410;374.000;167.000;109.775; 90.250;168.181;213.600;211.121;283.467;100.092;162.637;120.090;102.533;207.850;185.270;253.370;200.330;208.620;121.390;219.392;134.800;279.790;  3.900; 17.873;112.042
2023-04-23 00:33:00; 52.674;221.417;256.296;   null;122.733;1273.000;124.829;153.342;345.884;420.656;350.030;368.000;166.000;104.635; 93.240;171.607;208.400;208.114;287.095; 98.861;165.065;121.810; 93.867;206.410;188.290;   null;198.140;207.640;117.080;219.968;132.860;272.310;  4.773; 17.464;114.455
2023-04-23 00:34:00; 52.699;222.483;256.313;   null;119.983;1285.300;123.766;155.118;355.071;423.290;349.130;366.000;166.000;103.020; 94.160;167.036;203.600;209.935;289.565;103.901;164.446;118.430; 98.933;208.030;185.580;   null;197.920;207.570;118.750;217.657;135.970;279.380;  5.144; 16.932;112.843
2023-04-23 00:35:00; 53.569;217.433;262.650;   null;124.883;1318.200;123.531;154.609;344.782;419.857;345.430;370.000;166.000;103.954; 89.630;172.170;210.800;210.422;287.634;101.778;164.709;122.290; 99.733;207.080;185.390;   null;197.960;203.540;113.520;217.190;135.700;281.370;  4.902; 17.962;109.973
2023-04-23 00:36:00; 54.498;218.150;258.161;   null;120.367;1293.500;123.128;153.249;348.778;423.425;343.180;373.000;163.000; 99.139; 90.850;171.731;208.800;210.422;289.778;104.497;167.504;121.380; 96.533;202.500;189.390;   null;199.640;202.540;118.170;218.023;136.100;279.540;  4.902; 17.491;113.076
2023-04-23 00:37:00; 54.646;216.433;254.794;   null;123.067;1295.600;126.577;158.513;346.884;420.956;346.930;375.000;167.000;102.753; 90.770;170.097;208.267;208.325;283.269;101.264;164.328;122.680; 97.200;205.710;191.010;   null;200.270;202.250;118.020;217.640;136.160;282.450;  4.903; 18.397;108.012
2023-04-23 00:38:00; 55.218;221.667;256.486;   null;123.617;1302.100;124.768;154.045;358.297;423.695;340.000;371.000;172.000;110.194; 91.490;170.209;213.600;215.797;291.200; 99.133;164.534;119.770;100.000;208.070;183.090;   null;201.720;207.640;118.880;215.543;138.000;279.440;  4.717; 18.397;114.223
