DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-03-23 01:16:00;   null;218.792;257.128; 70.350;122.867;1284.550;120.033;152.047;346.474;402.605;339.865;410.500;106.472; 89.530;165.901;202.533;213.230;271.409; 99.113;162.673; 93.733;203.590;179.840;249.000;193.210;204.380;113.880;221.670;128.515;268.575;  4.832; 16.390;110.897
2024-03-23 01:18:00;   null;220.492;257.258; 75.867;121.891;1289.950;118.788;152.504;351.289;400.627;336.705;409.500;101.453; 90.555;163.571;201.600;210.116;271.310; 99.148;160.940; 96.200;201.260;175.310;   null;195.295;205.250;116.220;226.175;127.845;266.580;  4.377; 15.929;108.421
2024-03-23 01:20:00;   null;217.767;259.742; 67.150;120.225;1284.250;119.962;153.010;352.261;404.311;334.655;409.000;106.318; 89.260;165.871;202.133;216.393;272.841; 96.092;165.533; 96.200;201.240;176.835;   null;192.920;200.830;114.265;226.000;128.400;268.285;  4.332; 16.870;111.447
2024-03-23 01:22:00;   null;219.508;255.671; 71.958;119.117;1292.850;119.919;152.306;346.185;406.344;339.340;405.000;103.685; 89.525;164.489;207.400;214.101;274.044; 97.550;162.988; 97.333;199.450;178.355;   null;196.405;196.755;113.680;228.290;129.850;269.660;  4.921; 16.721;107.104
2024-03-23 01:24:00;   null;222.108;257.071; 71.858;119.850;1269.800;119.432;153.308;351.153;402.864;336.355;409.000;102.660; 90.985;166.655;202.733;210.012;272.421; 96.515;163.540; 97.667;199.680;176.035;   null;195.510;199.035;113.845;225.915;128.245;263.395;  4.599; 16.869;106.771
2024-03-23 01:26:00;   null;217.117;255.432; 71.000;120.358;1293.000;119.179;154.083;349.200;402.531;340.610;403.500;105.093; 89.770;165.467;203.867;214.700;275.439; 98.197;163.116; 95.867;195.965;179.305;   null;196.300;204.300;114.480;225.960;128.335;268.475;  4.484; 17.049;108.040
2024-03-23 01:28:00;   null;217.325;255.991; 68.217;122.600;1278.950;117.932;149.488;348.566;400.843;339.045;409.500;103.573; 87.990;167.210;201.933;208.692;273.579; 98.449;163.186; 96.800;199.855;178.075;   null;194.680;198.285;112.355;221.175;128.585;272.350;  4.654; 16.788;106.936
2024-03-23 01:30:00;   null;218.858;257.488; 70.617;121.642;1284.750;117.256;151.991;352.620;406.222;336.730;404.000;103.992; 88.180;164.882;203.600;210.879;269.038; 99.159;163.615; 98.467;201.265;178.715;255.200;197.990;198.835;113.210;227.155;129.415;269.010;  4.600; 16.617;107.484
2024-03-23 01:32:00;   null;217.325;259.938; 70.125;119.200;1276.100;121.356;150.613;349.608;406.666;336.240;405.500;103.296; 89.605;165.441;202.133;215.299;275.906;100.415;164.159; 95.400;203.040;176.610;   null;196.180;198.070;116.105;229.895;128.075;269.460;  4.341; 16.235;108.532
2024-03-23 01:34:00;   null;220.591;255.930; 68.892;122.225;1253.450;121.044;152.894;354.662;398.838;339.815;407.000;102.719; 88.680;163.881;204.333;215.681;271.473; 98.433;162.663; 96.667;198.050;176.440;249.900;195.765;202.435;112.225;223.210;128.500;267.965;  4.439; 16.271;108.862
2024-03-23 01:36:00;   null;220.359;254.833; 71.225;121.950;1286.300;118.097;152.324;352.290;398.228;338.830;405.500;103.264; 88.690;162.390;205.333;212.454;270.708;100.564;164.686; 95.867;199.125;176.825;250.800;195.960;200.965;113.510;226.690;130.265;271.990;  4.456; 16.016;108.697
2024-03-23 01:38:00;   null;222.625;259.981; 70.383;121.908;1285.900;118.403;150.739;351.807;400.515;333.985;409.500;104.357; 87.450;166.823;202.200;211.029;274.012; 97.733;160.787; 96.333;199.610;177.040;   null;195.815;195.110;113.165;226.975;127.345;265.685;  4.411; 17.018;107.213
2024-03-23 01:40:00;   null;217.875;255.898; 70.750;121.358;1294.650;118.724;154.332;348.350;405.524;336.315;405.500;106.080; 88.815;166.384;204.200;212.560;273.649; 98.593;161.250; 96.200;199.460;176.525;247.850;193.305;200.370;113.675;222.605;128.120;264.720;  4.516; 16.890;107.872
2024-03-23 01:42:00;   null;216.525;254.920; 67.600;119.000;1277.350;118.342;153.223;351.525;400.017;334.905;411.500;103.374; 89.490;166.455;204.400;210.583;271.598; 98.437;163.153; 94.200;201.635;179.390;248.000;196.040;199.850;113.855;224.800;129.115;268.905;  4.501; 16.277;108.751
2024-03-23 01:44:00;   null;218.459;258.941; 70.933;123.050;1268.200;120.401;151.520;346.785;398.109;338.360;406.500;103.797; 88.160;168.380;206.333;213.052;274.834; 97.318;164.499; 96.667;200.415;181.305;245.900;196.105;200.550;113.105;223.920;130.090;268.065;  4.510; 17.483;109.633
2024-03-23 01:46:00;   null;225.525;259.583; 72.442;119.175;1275.400;120.978;154.995;349.422;401.567;335.690;408.500;103.985; 91.535;172.283;202.467;210.475;272.665; 99.499;162.347; 99.067;196.835;177.525;252.200;194.035;204.020;113.660;221.200;128.515;266.965;  4.367; 16.837;107.101
2024-03-23 01:48:00;   null;221.150;256.928; 68.800;121.775;1271.600;119.251;151.406;348.741;403.933;335.430;405.500;101.703; 90.300;162.018;201.267;210.583;273.213;100.138;165.070; 97.200;199.350;176.335;242.700;196.525;203.250;114.440;223.435;125.865;264.775;  4.072; 16.640;110.622
2024-03-23 01:50:00;   null;222.059;258.724; 73.858;125.208;1280.600;117.897;151.291;348.537;405.926;335.180;405.500;104.526; 88.890;162.078;204.800;210.199;269.931; 98.248;162.076; 92.333;199.430;176.385;248.100;193.890;195.485;112.755;229.365;129.545;266.920;  4.473; 16.188;106.281
2024-03-23 01:52:00;   null;225.142;253.804; 71.975;123.192;1276.600;119.873;152.785;346.473;399.468;337.730;403.000;103.967; 88.665;171.347;204.333;209.707;271.490; 98.959;164.307; 96.867;199.115;174.170;250.550;194.205;203.240;113.845;226.575;128.565;262.840;  4.472; 16.578;110.513
2024-03-23 01:54:00;   null;220.358;258.079; 70.258;122.050;1264.900;120.658;151.026;347.363;404.111;334.550;408.500;105.011; 89.610;167.456;204.467;212.991;273.483; 99.560;163.177; 96.933;198.835;177.790;250.000;200.135;205.720;114.320;223.910;128.500;267.025;  4.544; 17.435;105.190
2024-03-23 01:56:00;   null;214.492;255.653; 73.058;124.142;1276.200;122.381;150.948;344.431;407.386;335.155;405.000;101.141; 88.960;163.723;201.400;216.336;271.893;102.485;164.492; 95.667;195.680;178.820;244.800;193.890;204.820;114.185;230.310;129.020;270.070;  4.472; 16.645;109.195
2024-03-23 01:58:00;   null;220.383;256.450; 67.442;122.567;1279.700;119.154;150.662;348.797;405.422;335.520;406.500;103.268; 89.285;167.947;202.733;208.107;268.094;102.508;161.951; 97.600;198.340;177.065;254.700;197.390;201.050;114.515;227.015;131.525;270.275;  4.659; 16.383;108.371
2024-03-23 02:00:00;   null;220.141;253.514; 71.217;122.400;1274.250;117.992;150.483;350.165;405.344;336.735;410.500;102.776; 88.870;169.681;203.867;215.676;272.052;100.412;168.493; 96.600;200.140;176.490;251.000;196.785;203.765;112.310;227.815;128.795;266.285;  4.561; 17.579;107.272
2024-03-23 02:02:00;   null;221.367;256.115; 71.842;120.542;1292.250;121.344;154.953;353.255;405.129;339.105;413.500;103.909; 89.255;163.887;204.400;211.455;271.966; 98.338;161.169; 97.067;196.950;177.310;246.500;194.480;201.470;111.530;223.455;129.905;266.860;  4.945; 17.651;109.195
2024-03-23 02:04:00;   null;220.691;255.285; 68.000;120.391;1273.050;120.221;152.010;344.179;399.618;338.640;406.500;105.566; 89.610;168.172;205.333;211.563;272.928; 98.795;163.149; 96.133;199.960;174.115;249.550;197.860;203.200;112.770;225.915;128.500;267.710;  4.758; 16.846;108.372
2024-03-23 02:06:00;   null;221.967;252.864; 70.808;120.750;1280.750;121.337;152.654;350.427;400.275;335.865;408.500;104.386; 88.465;167.220;201.733;209.365;270.910; 98.475;161.926; 94.867;197.865;177.590;256.200;194.350;198.705;113.740;226.850;127.930;268.285;  4.365; 16.643;107.166
2024-03-23 02:08:00;   null;221.883;254.965; 70.308;123.341;1305.150;120.778;151.486;352.520;403.510;334.560;412.500;102.711; 86.200;164.533;204.667;210.623;272.165; 98.296;163.953; 98.133;197.800;177.930;248.100;194.210;200.255;114.000;228.580;130.745;265.705;  4.508; 16.779;108.923
2024-03-23 02:10:00;   null;218.908;253.236; 71.058;120.008;1277.700;122.153;151.910;349.182;401.092;336.030;406.000;106.698; 89.010;168.857;204.333;211.392;273.093; 98.452;162.651; 99.333;200.800;177.155;246.850;194.540;204.350;112.975;229.230;127.500;268.045;  4.285; 16.735;109.416
2024-03-23 02:12:00;   null;217.108;260.080; 67.517;120.192;1293.250;119.629;150.782;348.535;404.622;337.165;402.000;102.682; 88.620;165.461;205.200;208.596;274.586; 99.859;160.169; 96.933;195.620;177.635;   null;196.810;200.655;112.990;227.015;128.135;269.175;  4.820; 16.958;108.429
2024-03-23 02:14:00;   null;219.891;257.808; 68.742;122.350;1264.200;117.701;152.152;341.427;400.661;337.800;407.000;107.475; 88.450;168.666;202.467;213.698;271.564; 96.613;160.345; 97.000;198.335;175.250;248.800;192.425;203.155;113.685;227.505;128.950;274.670;  4.356; 17.241;109.908
2024-03-23 02:16:00;   null;220.142;256.154; 71.017;123.733;1296.250;117.562;150.458;351.933;399.692;338.055;410.000;105.400; 87.960;166.227;203.133;211.392;273.715; 96.382;164.418; 97.733;196.860;176.905;   null;192.980;200.325;113.105;222.675;129.740;267.620;  4.115; 17.123;105.077
2024-03-23 02:18:00;   null;219.292;256.967; 69.542;121.917;1286.250;120.909;151.190;350.871;405.928;339.070;408.000;106.774; 91.600;168.871;206.733;211.008;272.611; 97.942;163.051; 97.400;196.390;175.570;   null;194.560;206.705;113.990;225.035;128.765;266.840;  4.419; 16.578;110.842
2024-03-23 02:20:00;   null;217.741;259.492; 70.000;121.533;1278.750;121.184;152.378;349.761;401.810;335.850;406.000;107.085; 90.040;169.500;203.267;209.574;275.822; 98.102;161.914; 97.333;200.055;179.410;245.050;193.630;197.435;113.270;225.810;128.150;271.300;  4.714; 16.550;105.849
2024-03-23 02:22:00;   null;216.100;258.008; 70.008;121.591;1271.900;121.021;152.283;349.762;401.525;334.445;405.500;104.255; 90.680;164.252;202.667;211.499;272.346; 99.102;163.378; 96.800;201.605;174.785;250.000;198.460;196.745;113.990;225.830;130.270;268.255;  4.198; 16.103;109.800
2024-03-23 02:24:00;   null;218.625;255.563; 74.267;122.908;1273.550;119.459;152.472;349.696;400.633;335.655;400.000;104.351; 89.515;164.561;199.133;209.961;273.208; 98.818;161.041; 96.533;196.930;175.280;244.000;197.055;196.445;113.795;225.995;128.110;271.165;  4.801; 16.772;107.936
2024-03-23 02:26:00;   null;217.917;253.627; 65.833;119.983;1278.950;119.901;150.669;345.317;399.002;336.840;405.000;103.431; 88.880;171.723;202.200;210.175;273.398; 97.919;165.263; 98.000;200.575;176.215;252.000;194.235;199.675;113.175;223.685;129.405;267.355;  4.554; 17.618;109.690
2024-03-23 02:28:00;   null;219.317;253.186; 71.775;121.225;1280.600;122.387;153.853;348.942;399.143;337.005;404.500;105.269; 87.805;164.143;204.667;210.174;277.684;100.309;165.875; 95.533;197.100;178.590;246.900;196.430;205.110;114.490;228.800;131.460;269.220;  4.671; 17.297;109.525
2024-03-23 02:30:00;   null;214.733;255.933; 71.283;123.242;1283.950;119.425;152.432;346.024;402.242;336.760;405.000;107.319; 88.385;167.314;204.867;217.707;271.200; 98.912;160.684; 95.733;198.790;177.535;248.900;196.600;198.950;113.395;229.270;129.145;270.560;  4.269; 16.712;108.210
2024-03-23 02:32:00;   null;222.784;256.500; 70.483;120.359;1273.200;119.825;149.279;345.677;402.478;334.035;405.000;103.741; 88.330;165.352;204.933;213.082;272.045; 99.703;161.382; 96.200;199.205;175.265;247.600;193.205;202.995;112.620;225.070;130.405;268.675;  4.331; 16.389;108.100
2024-03-23 02:34:00;   null;219.408;251.391; 71.633;120.475;1267.750;119.433;150.404;348.841;401.258;336.660;405.500;105.018; 89.260;163.820;203.267;209.017;272.861; 97.389;163.041; 97.067;195.305;176.970;256.200;195.735;196.870;113.435;224.575;129.480;268.485;  4.510; 16.315;110.130
2024-03-23 02:36:00;   null;218.984;253.744; 67.175;123.317;1270.000;120.202;151.890;350.050;400.936;333.765;406.500;103.793; 89.125;169.290;201.867;211.050;274.156;101.766;163.691; 95.733;199.945;177.145;252.950;196.495;202.100;110.420;224.710;128.560;268.245;  4.545; 16.756;106.184
2024-03-23 02:38:00;   null;221.475;251.868; 68.742;122.450;1278.500;123.754;151.557;346.717;398.839;338.980;409.500;104.986; 86.380;164.743;205.133;211.542;273.774; 99.935;162.942; 93.933;199.975;177.385;252.100;197.285;202.275;112.495;229.650;127.835;269.175;  4.687; 17.071;107.118
2024-03-23 02:40:00;   null;222.108;258.529; 72.850;119.133;1293.250;120.136;153.327;350.736;403.088;334.500;401.500;107.779; 88.220;167.760;206.467;209.124;273.081; 98.230;165.344; 96.600;198.930;175.470;248.500;195.820;201.645;115.110;226.270;128.850;265.455;  4.189; 16.773;107.886
2024-03-23 02:42:00;   null;221.350;256.672; 71.817;120.525;1279.650;121.398;149.871;349.669;400.652;334.580;404.000;107.382; 88.430;166.473;205.667;213.745;269.423;101.187;163.816; 96.333;198.300;174.010;   null;197.360;200.130;114.990;223.500;127.655;267.285;  4.671; 16.655;108.379
2024-03-23 02:44:00;   null;223.025;258.551; 73.250;123.058;1276.300;119.745;151.472;345.830;399.314;331.860;411.000;104.814; 90.190;165.534;205.067;211.157;274.098;100.726;163.981; 94.467;201.250;174.690;   null;196.320;202.270;113.165;225.860;129.250;266.690;  4.225; 16.849;107.669
2024-03-23 02:46:00;   null;216.225;253.006; 72.883;119.483;1272.700;119.660;150.817;351.113;399.686;340.570;404.000;107.239; 87.140;166.729;205.400;212.590;278.055; 99.900;163.182; 96.667;203.550;174.600;   null;196.920;202.295;112.660;223.265;128.195;267.260;  4.653; 16.317;107.668
2024-03-23 02:48:00;   null;220.758;255.965; 73.658;121.742;1272.850;121.149;153.396;346.587;402.854;339.000;406.500;103.551; 88.340;168.565;202.533;211.542;276.141; 99.542;164.665; 95.400;199.790;178.570;   null;198.325;197.475;114.795;223.050;129.145;265.965;  4.475; 16.154;110.458
2024-03-23 02:50:00;   null;225.275;257.988; 71.492;122.692;1298.150;122.116;149.455;347.309;403.347;339.515;403.000;105.783; 89.400;167.394;204.067;211.157;270.670; 99.097;165.479; 95.000;199.445;176.420;244.200;197.370;201.505;112.550;224.215;132.030;269.485;  5.082; 17.473;109.090
2024-03-23 02:52:00;   null;221.275;257.740; 69.958;121.067;1272.500;118.599;150.765;347.445;401.686;338.355;405.500;103.522; 90.105;167.486;203.200;212.419;273.546;102.104;160.709; 95.867;201.080;176.950;240.700;196.735;205.185;113.665;229.365;130.390;268.225;  4.609; 15.879;107.065
2024-03-23 02:54:00;   null;218.600;254.969; 70.142;118.983;1287.200;121.427;151.647;348.398;400.370;341.010;405.000;103.544; 89.505;166.591;202.067;208.950;275.861; 99.230;164.330; 97.400;198.720;177.720;   null;195.695;203.490;113.705;228.705;128.960;270.885;  4.617; 16.753;108.215
2024-03-23 02:56:00;   null;221.167;257.641; 69.317;115.617;1273.650;121.439;150.210;350.918;397.327;334.795;404.000;106.208; 87.860;162.160;202.933;209.721;272.291; 97.158;162.049; 97.467;196.390;176.350;248.600;194.855;203.830;112.820;223.840;130.160;269.760;  4.715; 16.992;109.857
