DATETIME;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSB;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-05-10 00:42:00;218.683;257.852; 68.017;124.817;1252.900;116.766;150.775;324.310;422.976;   null;406.000; 99.640; 88.250;158.090;208.533;209.733;272.847; 95.627;160.454; 89.600;200.470;186.060;   null;196.620;196.630;112.810; 27.340;229.300;128.790;268.090;  4.414; 16.192;107.921
2024-05-10 00:43:00;227.650;256.979; 74.150;120.783;1288.000;114.891;152.378;328.814;416.372;   null;411.000;106.956; 87.570;163.285;205.333;206.163;275.750; 98.028;162.673; 91.200;204.370;174.230;251.100;191.750;199.480;111.670; 26.640;228.210;129.260;266.660;  4.160; 15.962;111.159
2024-05-10 00:44:00;221.200;258.307; 70.950;121.567;1291.700;114.658;151.507;330.712;423.459;   null;398.000;102.462; 88.900;162.200;204.533;213.516;271.958; 98.021;161.767; 95.733;197.700;174.570;   null;197.810;199.340;114.540; 26.960;230.850;127.520;273.640;  4.341; 16.130;106.842
2024-05-10 00:45:00;220.133;253.240; 70.967;119.800;1251.500;117.218;151.204;329.667;418.277;   null;410.000;100.893; 88.990;161.105;200.000;204.073;276.946; 97.968;155.745; 97.600;197.210;175.990;252.200;195.210;201.180;112.350; 26.610;223.530;128.980;270.240;  4.233; 16.935;107.202
2024-05-10 00:46:00;223.433;260.386; 69.767;120.817;1265.800;118.772;150.053;326.331;417.490;   null;409.000;102.253; 88.730;166.071;208.133;207.846;277.006; 96.552;158.715; 97.333;200.220;174.230;241.300;197.460;200.030;110.530; 25.700;228.300;127.740;270.120;  5.410; 18.170;108.281
2024-05-10 00:47:00;218.667;255.075; 71.200;120.850;1284.300;114.553;150.562;326.884;423.056;   null;412.000;105.269; 85.700;161.808;209.600;208.780;278.314; 96.538;166.198; 90.800;200.770;176.360;250.200;198.580;201.450;112.880; 26.660;228.170;127.960;262.030;  4.434; 17.596;107.561
2024-05-10 00:48:00;219.133;254.883; 70.433;120.850;1286.600;115.321;148.706;322.627;420.128;   null;406.000;103.395; 88.540;159.657;206.400;210.895;278.462; 96.443;162.968; 94.800;199.080;179.650;253.800;198.060;203.550;114.070; 25.140;227.620;124.050;269.350;  4.308; 16.826;106.842
2024-05-10 00:49:00;221.467;258.080; 67.700;124.850;1249.900;116.519;151.336;319.441;418.971;   null;413.000;100.899; 89.690;165.247;203.600;208.588;277.850; 97.242;163.931; 95.867;200.970;177.620;248.300;197.800;202.330;114.210; 25.450;227.590;128.550;263.680;  4.598; 15.843;107.561
2024-05-10 00:50:00;217.050;253.260; 70.683;122.950;1283.500;118.314;150.696;319.121;419.646;   null;412.000;101.126; 86.870;164.959;205.333;211.416;283.829; 97.987;158.744; 93.333;199.800;181.420;253.500;196.250;200.070;113.950; 25.040;227.380;125.300;270.330;  4.580; 16.315;109.252
2024-05-10 00:51:00;219.267;257.225; 73.350;120.350;1260.900;116.848;151.160;317.325;424.787;   null;400.000;100.217; 87.560;157.769;204.267;208.376;280.412; 94.758;162.564; 92.533;198.310;172.750;248.800;192.680;200.250;111.840; 26.230;225.400;127.030;271.380;  4.980; 17.534;106.377
